Date,Price,Open,High,Low,Vol.,Change %,Volume,Change_pct,Ticker
2021-12-14,749.36,749.39,756.12,746.67,9.19M,-0.58%,9190000.0,-0.58,HDBK
2021-12-15,748.14,749.63,759.78,745.97,10.12M,-0.16%,10120000.0,-0.16,HDBK
2021-12-16,748.19,754.52,756.62,745.15,13.21M,0.01%,13210000.0,0.01,HDBK
2021-12-17,734.7,746.64,751.13,732.03,14.99M,-1.80%,14990000.0,-1.8,HDBK
2021-12-20,711.06,724.2,727.19,705.3,21.16M,-3.22%,21160000.0,-3.22,HDBK
2021-12-21,719.11,717.96,723.57,713.23,9.12M,1.13%,9120000.0,1.13,HDBK
2021-12-22,720.81,724.35,726.19,716.07,8.58M,0.24%,8580000.0,0.24,HDBK
2021-12-23,720.26,724.82,727.09,716.64,9.78M,-0.08%,9780000.0,-0.08,HDBK
2021-12-24,717.66,720.96,724.2,712.23,5.56M,-0.36%,5560000.0,-0.36,HDBK
2021-12-27,723.6,712.68,725.2,709.31,4.71M,0.83%,4710000.0,0.83,HDBK
2021-12-28,728.59,728.54,731.63,724.9,5.45M,0.69%,5450000.0,0.69,HDBK
2021-12-29,725.12,726.22,728.69,721.9,7.67M,-0.48%,7670000.0,-0.48,HDBK
2021-12-30,728.94,727.44,731.6,720.71,7.22M,0.53%,7220000.0,0.53,HDBK
2021-12-31,737.86,728.94,740.56,728.94,6.33M,1.22%,6330000.0,1.22,HDBK
2022-01-03,757.94,740.66,759.61,738.41,9.07M,2.72%,9070000.0,2.72,HDBK
2022-01-04,762.38,758.11,764.55,752.03,8.86M,0.59%,8860000.0,0.59,HDBK
2022-01-05,780.48,766.49,784.05,762.15,14.33M,2.37%,14330000.0,2.37,HDBK
2022-01-06,767.96,769.59,775.45,763.13,9.63M,-1.60%,9630000.0,-1.6,HDBK
2022-01-07,773.35,770.08,781.43,766.04,11.18M,0.70%,11180000.0,0.7,HDBK
2022-01-10,777.64,777.07,784.05,770.83,8.86M,0.55%,8860000.0,0.55,HDBK
2022-01-11,781.01,778.84,782.4,771.98,8.39M,0.43%,8390000.0,0.43,HDBK
2022-01-12,776.39,782.05,786.37,774.07,21.09M,-0.59%,21090000.0,-0.59,HDBK
2022-01-13,762.1,775.57,775.57,758.31,41.96M,-1.84%,41960000.0,-1.84,HDBK
2022-01-14,770.66,763.1,772.43,757.61,11.21M,1.12%,11210000.0,1.12,HDBK
2022-01-17,758.86,763.1,776.07,757.69,22.99M,-1.53%,22990000.0,-1.53,HDBK
2022-01-18,762.73,764.6,773.53,759.61,12.34M,0.51%,12340000.0,0.51,HDBK
2022-01-19,757.34,765.1,767.96,754.8,14.32M,-0.71%,14320000.0,-0.71,HDBK
2022-01-20,752.63,762.33,762.35,748.19,15.20M,-0.62%,15200000.0,-0.62,HDBK
2022-01-21,758.91,748.14,763.0,740.96,11.54M,0.83%,11540000.0,0.83,HDBK
2022-01-24,741.48,753.1,758.74,731.95,11.87M,-2.30%,11870000.0,-2.3,HDBK
2022-01-25,742.18,727.51,745.64,720.21,13.59M,0.09%,13590000.0,0.09,HDBK
2022-01-27,735.64,723.2,740.66,715.72,28.62M,-0.88%,28620000.0,-0.88,HDBK
2022-01-28,729.81,736.92,741.51,728.19,24.93M,-0.79%,24930000.0,-0.79,HDBK
2022-01-31,741.01,734.55,743.92,731.58,12.84M,1.53%,12840000.0,1.53,HDBK
2022-02-01,746.64,752.38,756.62,734.9,14.74M,0.76%,14740000.0,0.76,HDBK
2022-02-02,763.7,754.1,765.6,750.93,13.97M,2.28%,13970000.0,2.28,HDBK
2022-02-03,755.79,762.48,768.06,752.63,10.56M,-1.04%,10560000.0,-1.04,HDBK
2022-02-04,760.11,762.3,764.52,755.17,11.58M,0.57%,11580000.0,0.57,HDBK
2022-02-07,732.25,754.17,757.61,728.19,12.27M,-3.66%,12270000.0,-3.66,HDBK
2022-02-08,729.11,736.37,737.39,720.48,13.98M,-0.43%,13980000.0,-0.43,HDBK
2022-02-09,746.94,735.17,747.99,731.68,11.31M,2.45%,11310000.0,2.45,HDBK
2022-02-10,760.66,755.12,765.84,748.96,14.31M,1.84%,14310000.0,1.84,HDBK
2022-02-11,757.54,748.26,760.61,747.89,10.71M,-0.41%,10710000.0,-0.41,HDBK
2022-02-14,735.02,743.15,747.86,732.83,14.66M,-2.97%,14660000.0,-2.97,HDBK
2022-02-15,757.02,736.17,760.56,734.7,13.14M,2.99%,13140000.0,2.99,HDBK
2022-02-16,755.99,765.27,765.47,751.63,10.03M,-0.14%,10030000.0,-0.14,HDBK
2022-02-17,751.38,754.67,759.11,749.14,7.35M,-0.61%,7350000.0,-0.61,HDBK
2022-02-18,754.3,747.29,756.62,743.38,7.80M,0.39%,7800000.0,0.39,HDBK
2022-02-21,759.16,750.13,763.45,745.92,7.47M,0.64%,7470000.0,0.64,HDBK
2022-02-22,753.48,743.05,759.16,742.13,9.54M,-0.75%,9540000.0,-0.75,HDBK
2022-02-23,748.59,760.66,760.96,745.97,9.03M,-0.65%,9030000.0,-0.65,HDBK
2022-02-24,707.94,723.15,735.64,701.83,23.63M,-5.43%,23630000.0,-5.43,HDBK
2022-02-25,726.24,718.19,731.13,714.65,18.32M,2.59%,18320000.0,2.59,HDBK
2022-02-28,711.36,711.23,717.49,705.27,24.88M,-2.05%,24880000.0,-2.05,HDBK
2022-03-02,685.42,691.53,697.46,675.52,38.51M,-3.65%,38510000.0,-3.65,HDBK
2022-03-03,683.8,688.79,694.27,679.76,17.53M,-0.24%,17530000.0,-0.24,HDBK
2022-03-04,681.55,678.31,691.28,666.79,21.22M,-0.33%,21220000.0,-0.33,HDBK
2022-03-07,660.76,657.61,664.52,646.92,27.05M,-3.05%,27050000.0,-3.05,HDBK
2022-03-08,662.25,649.48,665.34,644.4,39.21M,0.23%,39210000.0,0.23,HDBK
2022-03-09,683.87,663.35,685.64,657.79,23.13M,3.26%,23130000.0,3.26,HDBK
2022-03-10,694.62,711.73,711.73,688.41,22.27M,1.57%,22270000.0,1.57,HDBK
2022-03-11,696.67,692.28,702.73,684.65,15.15M,0.29%,15150000.0,0.29,HDBK
2022-03-14,719.48,705.74,723.2,705.74,25.02M,3.28%,25020000.0,3.28,HDBK
2022-03-15,710.23,719.96,722.95,704.12,18.87M,-1.29%,18870000.0,-1.29,HDBK
2022-03-16,722.28,721.7,725.69,716.32,13.36M,1.70%,13360000.0,1.7,HDBK
2022-03-17,738.19,734.17,743.05,733.45,14.82M,2.20%,14820000.0,2.2,HDBK
2022-03-21,741.41,741.65,744.97,734.57,12.26M,0.44%,12260000.0,0.44,HDBK
2022-03-22,745.22,738.81,747.14,726.79,10.46M,0.51%,10460000.0,0.51,HDBK
2022-03-23,737.79,751.63,757.52,734.97,31.19M,-1.00%,31190000.0,-1.0,HDBK
2022-03-24,719.53,731.18,733.0,715.49,20.16M,-2.47%,20160000.0,-2.47,HDBK
2022-03-25,713.67,723.7,724.2,707.74,16.37M,-0.81%,16370000.000000002,-0.81,HDBK
2022-03-28,714.62,713.67,717.22,699.06,15.75M,0.13%,15750000.0,0.13,HDBK
2022-03-29,724.1,718.71,728.31,713.23,12.38M,1.33%,12380000.0,1.33,HDBK
2022-03-30,736.64,734.17,739.53,725.22,20.11M,1.73%,20110000.0,1.73,HDBK
2022-03-31,733.35,733.67,740.51,731.13,14.30M,-0.45%,14300000.0,-0.45,HDBK
2022-04-01,751.13,736.37,753.13,733.33,14.57M,2.42%,14570000.0,2.42,HDBK
2022-04-04,826.34,788.04,858.91,779.34,97.45M,10.01%,97450000.0,10.01,HDBK
2022-04-05,802.13,831.28,831.28,799.01,30.92M,-2.93%,30920000.0,-2.93,HDBK
2022-04-06,773.5,791.88,792.93,771.75,27.03M,-3.57%,27030000.0,-3.57,HDBK
2022-04-07,756.49,768.74,768.76,754.97,40.78M,-2.20%,40780000.0,-2.2,HDBK
2022-04-08,755.45,754.17,760.98,746.79,41.26M,-0.14%,41260000.0,-0.14,HDBK
2022-04-11,746.22,751.13,753.13,744.77,20.80M,-1.22%,20800000.0,-1.22,HDBK
2022-04-12,744.9,740.16,751.55,738.24,27.44M,-0.18%,27440000.0,-0.18,HDBK
2022-04-13,730.66,743.15,749.29,729.51,28.89M,-1.91%,28890000.0,-1.91,HDBK
2022-04-18,695.99,707.66,714.05,693.3,45.62M,-4.74%,45620000.0,-4.74,HDBK
2022-04-19,669.43,688.74,693.05,661.85,74.10M,-3.82%,74100000.0,-3.82,HDBK
2022-04-20,675.47,675.54,678.26,666.02,49.33M,0.90%,49330000.0,0.9,HDBK
2022-04-21,685.47,680.81,688.19,674.97,52.45M,1.48%,52450000.0,1.48,HDBK
2022-04-22,676.12,678.31,685.97,672.9,20.66M,-1.36%,20660000.0,-1.36,HDBK
2022-04-25,681.18,673.32,683.62,659.48,20.94M,0.75%,20940000.0,0.75,HDBK
2022-04-26,684.32,684.3,689.26,676.89,17.02M,0.46%,17020000.0,0.46,HDBK
2022-04-27,684.57,678.31,687.79,676.37,18.05M,0.04%,18050000.0,0.04,HDBK
2022-04-28,683.97,684.3,687.79,679.36,20.77M,-0.09%,20770000.0,-0.09,HDBK
2022-04-29,690.58,688.46,700.63,684.07,28.40M,0.97%,28400000.0,0.97,HDBK
2022-05-02,700.11,679.33,701.48,679.33,19.49M,1.38%,19490000.0,1.38,HDBK
2022-05-04,676.32,698.26,700.06,673.32,29.06M,-3.40%,29060000.0,-3.4,HDBK
2022-05-05,674.8,685.79,685.79,671.58,17.86M,-0.22%,17860000.0,-0.22,HDBK
2022-05-06,657.16,663.35,665.84,654.87,26.73M,-2.61%,26730000.0,-2.61,HDBK
2022-05-09,658.29,648.39,661.6,646.14,32.76M,0.17%,32759999.999999996,0.17,HDBK
2022-05-10,668.86,655.89,674.82,655.89,20.11M,1.61%,20110000.0,1.61,HDBK
2022-05-11,672.63,674.82,675.82,662.68,17.10M,0.56%,17100000.0,0.56,HDBK
2022-05-12,649.91,658.91,661.75,644.9,22.38M,-3.38%,22380000.0,-3.38,HDBK
2022-05-13,644.07,653.4,657.36,641.9,16.77M,-0.90%,16770000.0,-0.9,HDBK
2022-05-16,650.93,647.89,654.37,641.05,9.80M,1.06%,9800000.0,1.06,HDBK
2022-05-17,655.37,654.67,656.87,647.49,16.64M,0.68%,16640000.0,0.68,HDBK
2022-05-18,655.32,660.38,665.0,653.37,15.73M,-0.01%,15730000.0,-0.01,HDBK
2022-05-19,641.93,641.5,646.59,637.56,20.54M,-2.04%,20540000.0,-2.04,HDBK
2022-05-20,658.84,649.88,660.46,644.57,13.92M,2.63%,13920000.0,2.63,HDBK
2022-05-23,650.38,655.37,663.32,647.94,19.49M,-1.28%,19490000.0,-1.28,HDBK
2022-05-24,657.84,648.39,660.86,646.84,12.87M,1.15%,12870000.0,1.15,HDBK
2022-05-25,662.75,663.35,666.32,659.96,12.89M,0.75%,12890000.0,0.75,HDBK
2022-05-26,681.65,669.41,683.8,668.34,26.99M,2.85%,26990000.0,2.85,HDBK
2022-05-27,694.3,684.2,695.62,683.67,24.03M,1.85%,24030000.0,1.85,HDBK
2022-05-30,699.04,703.37,708.49,697.49,12.62M,0.68%,12620000.0,0.68,HDBK
2022-05-31,692.75,696.22,700.66,688.29,13.49M,-0.90%,13490000.0,-0.9,HDBK
2022-06-01,695.69,688.29,698.49,687.86,12.09M,0.42%,12090000.0,0.42,HDBK
2022-06-02,690.83,691.9,692.28,687.59,11.48M,-0.70%,11480000.0,-0.7,HDBK
2022-06-03,688.44,697.41,698.64,686.44,6.96M,-0.35%,6960000.0,-0.35,HDBK
2022-06-06,687.51,686.44,691.78,678.64,6.17M,-0.13%,6170000.0,-0.13,HDBK
2022-06-07,679.61,679.31,685.44,675.37,10.25M,-1.15%,10250000.0,-1.15,HDBK
2022-06-08,682.0,684.95,688.79,676.82,5.99M,0.35%,5990000.0,0.35,HDBK
2022-06-09,687.14,679.43,689.31,676.89,7.31M,0.75%,7310000.0,0.75,HDBK
2022-06-10,673.87,678.36,682.28,670.13,9.16M,-1.93%,9160000.0,-1.93,HDBK
2022-06-13,661.65,660.16,663.35,652.53,10.89M,-1.81%,10890000.0,-1.81,HDBK
