Date,Price,Open,High,Low,Vol.,Change %,Volume,Ticker,SMA10,EMA5,EMA10,Signal,Crossover,Return,Volatility
2021-08-17,755.45,756.72,760.11,750.78,8.28M,-1.04%,8279999.999999999,HDBK,749.243,755.103845110799,748.5119656844428,1,0.0,-0.010413937647366978,0.010010189733126168
2021-08-18,754.62,776.42,780.73,752.3,22.99M,-0.11%,22990000.0,HDBK,751.6220000000001,754.9425605684389,749.6274652067532,1,0.0,-0.00109868290422932,0.008458264495982392
2021-08-20,755.5,741.18,758.01,741.18,13.15M,0.12%,13150000.0,HDBK,753.114,755.1283758926428,750.6990877965408,1,0.0,0.00116614985025576,0.007683624163258904
2021-08-23,760.41,763.03,764.67,752.45,10.84M,0.65%,10840000.0,HDBK,754.708,756.8889310339555,752.4699663558001,1,0.0,0.006499007279947122,0.007751639022560204
2021-08-24,777.49,763.1,780.31,761.83,18.38M,2.25%,18380000.0,HDBK,757.4490000000001,763.7559898350014,757.0301417624951,1,0.0,0.022461566786339038,0.010011855608076579
2021-08-25,776.77,774.12,780.46,772.08,7.73M,-0.09%,7730000.0,HDBK,759.931,768.0940083054534,760.6263549861654,1,0.0,-0.0009260569267772745,0.010113258861023055
2021-08-26,775.47,773.08,783.55,769.81,11.12M,-0.17%,11120000.0,HDBK,762.9159999999999,770.5526779023893,763.3295957509697,1,0.0,-0.0016735970750672013,0.009448084916268794
2021-08-27,772.3,774.07,777.39,770.71,6.38M,-0.41%,6380000.0,HDBK,765.262,771.1351195015893,764.9627514020104,1,0.0,-0.0040878435013606,0.00978198991501941
2021-08-30,782.18,775.87,783.05,773.87,9.05M,1.28%,9050000.0,HDBK,767.3589999999999,774.816750126996,768.0965719168714,1,0.0,0.01279295610514053,0.009273169118145722
2021-08-31,788.74,779.81,789.71,779.16,12.06M,0.84%,12060000.0,HDBK,769.893,779.4578366053167,771.8532686627518,1,0.0,0.008386816333836311,0.009443047670946869
2021-09-01,787.59,785.55,797.02,785.3,12.42M,-0.15%,12420000.0,HDBK,773.107,782.1685589779577,774.7165792524258,1,0.0,-0.0014580216547911418,0.008359263935977648
2021-09-02,792.53,785.1,794.02,783.68,9.62M,0.63%,9620000.0,HDBK,776.898,785.6223737061705,777.9573153808418,1,0.0,0.006272299038839968,0.008162169191840858
2021-09-03,786.07,791.08,797.02,782.2,10.74M,-0.81%,10740000.0,HDBK,779.955,785.7715825011421,779.4330689059452,1,0.0,-0.008151110998952604,0.009117170425947419
2021-09-06,780.91,788.01,788.51,779.04,7.88M,-0.66%,7880000.0,HDBK,782.005,784.1510547809262,779.7017090615867,1,0.0,-0.006564300889233876,0.00964193786419874
2021-09-07,782.68,779.31,789.04,775.67,7.25M,0.23%,7250000.0,HDBK,782.524,783.6607031429378,780.2433934095884,1,0.0,0.0022665864184092666,0.006714827527492419
2021-09-08,786.24,784.02,788.29,780.86,6.72M,0.46%,6720000.0,HDBK,783.471,784.5204688137954,781.3339769251065,1,0.0,0.00454847447232587,0.006791543757678154
2021-09-09,782.35,785.05,787.76,778.56,8.25M,-0.49%,8250000.0,HDBK,784.159,783.7969791801168,781.5187487883477,1,0.0,-0.004947598697598643,0.00702223977608856
2021-09-13,775.84,779.06,790.03,774.9,8.96M,-0.83%,8960000.0,HDBK,784.5129999999999,781.1446527156718,780.4860642902721,1,0.0,-0.008321083913849336,0.007470042089947852
2021-09-14,772.35,778.06,780.31,771.38,9.76M,-0.45%,9760000.0,HDBK,783.53,778.2131017580781,779.0065633491248,0,-1.0,-0.004498350175293875,0.006196562014238858
2021-09-15,771.48,765.6,775.47,765.6,14.82M,-0.11%,14820000.0,HDBK,781.804,775.9687344786561,777.6379334048269,0,0.0,-0.0011264323169547508,0.005204030652549095
2021-09-16,778.04,766.97,780.21,766.24,10.26M,0.85%,10260000.0,HDBK,780.849,776.6591563245858,777.7110435847158,0,0.0,0.008503136827915148,0.006216293911418457
2021-09-17,789.11,782.55,792.53,777.67,20.50M,1.42%,20500000.0,HDBK,780.507,780.8094375716917,779.7837472565852,1,1.0,0.014228060253971497,0.007627948699883813
2021-09-20,777.99,780.06,788.89,777.07,8.78M,-1.41%,8780000.0,HDBK,779.699,779.8696250444781,779.4575900013663,1,0.0,-0.014091824967368272,0.008481700255056056
2021-09-21,774.05,779.06,782.38,762.58,14.77M,-0.51%,14770000.0,HDBK,779.013,777.9297500250885,778.4743390591813,0,-1.0,-0.005064332446432562,0.008385082760746308
2021-09-22,764.95,772.58,773.15,763.1,10.58M,-1.18%,10580000.0,HDBK,777.24,773.603166676607,776.015260360958,0,0.0,-0.011756346489244729,0.008958844779759797
2021-09-23,783.05,769.09,784.05,769.09,13.66M,2.37%,13660000.0,HDBK,776.921,776.7521111210303,777.2943498770867,0,0.0,0.023661677233806078,0.012069764490645663
2021-09-24,798.79,787.54,801.98,785.55,20.81M,2.01%,20810000.0,HDBK,778.5649999999999,784.0980740858074,781.2027647654407,1,1.0,0.02010088755507322,0.013519680248111603
2021-09-27,810.53,805.84,815.72,802.0,16.42M,1.47%,16420000.000000002,HDBK,782.0339999999999,792.9087160612992,786.5351175746616,1,0.0,0.01469722955970898,0.01349575070900159
2021-09-28,805.52,813.97,813.97,789.04,12.77M,-0.62%,12770000.0,HDBK,785.351,797.1124773755018,789.986982290918,1,0.0,-0.006181140735074586,0.013629764486163534
2021-09-29,794.95,796.52,801.31,790.61,16.26M,-1.31%,16260000.000000002,HDBK,787.698,796.3916515835192,790.8893636725938,1,0.0,-0.013121958486443486,0.014649815111858897
2021-09-30,795.5,791.03,801.18,789.59,15.98M,0.07%,15980000.0,HDBK,789.444,796.0944343889718,791.7276722273028,1,0.0,0.0006918674130447222,0.014537380619852628
2021-10-01,789.39,789.54,792.53,780.68,11.13M,-0.77%,11130000.0,HDBK,789.472,793.859622925776,791.3026363332465,1,0.0,-0.007680703959773716,0.014189489385412039
2021-10-04,790.91,792.53,798.69,789.83,7.05M,0.19%,7050000.0,HDBK,790.764,792.8764152837905,791.2312472796276,1,0.0,0.0019255374403019943,0.013281254796300948
2021-10-05,795.75,794.02,796.77,786.17,10.26M,0.61%,10260000.0,HDBK,792.934,793.8342768558992,792.0528446098367,1,0.0,0.006119533195938942,0.013115655401866374
2021-10-06,805.45,796.02,811.41,791.53,18.60M,1.22%,18600000.0,HDBK,796.984,797.7061845707047,794.4887054205396,1,0.0,0.012189758089852454,0.012315012588330686
2021-10-07,803.25,811.28,811.83,801.51,11.27M,-0.27%,11270000.0,HDBK,799.004,799.5541230471699,796.081675763487,1,0.0,-0.002731392389347609,0.010643075436978892
2021-10-08,799.34,804.0,808.99,798.09,7.25M,-0.49%,7250000.0,HDBK,799.059,799.4827486981125,796.6741006925182,1,0.0,-0.004867724867724799,0.008861064707214544
2021-10-11,814.87,797.96,820.46,797.52,13.08M,1.94%,13080000.0,HDBK,799.493,804.6118324654495,799.9824567154218,1,0.0,0.019428528536042267,0.00980307091130695
2021-10-12,812.78,810.48,818.74,810.48,8.18M,-0.26%,8180000.0,HDBK,800.2189999999999,807.3345549769809,802.3092889211114,1,0.0,-0.0025648262913102737,0.009590452198202778
2021-10-13,817.67,816.47,821.95,812.98,6.23M,0.60%,6230000.0,HDBK,802.491,810.7797033179997,805.102151524404,1,0.0,0.006016388198528455,0.008294830609118687
