Date,Price,Open,High,Low,Vol.,Change %,Volume,Change_pct,Ticker,SMA5,SMA10,SMA20,EMA5,EMA10,EMA20,Signal,Crossover
2026-04-13,2472.6,2489.9,2504.9,2470.0,3.74M,-2.05%,3740000.0,-2.05,TCS,2536.98,,,2508.034506934919,2481.742977590464,2441.359071933437,1,0.0
2026-04-15,2554.9,2501.9,2559.0,2493.4,5.26M,3.33%,5260000.0,3.33,TCS,2540.0,2493.15,,2523.656337956613,2495.0442543921977,2452.172493654062,1,0.0
2026-04-16,2576.9,2572.0,2594.0,2558.0,3.91M,0.86%,3910000.0,0.86,TCS,2543.54,2514.95,,2541.404225304409,2509.92711722998,2464.051303782246,1,0.0
2026-04-17,2581.5,2570.0,2589.0,2555.9,2.72M,0.18%,2720000.0,0.18,TCS,2542.04,2532.28,,2554.7694835362727,2522.940368642711,2475.2368938982227,1,0.0
2026-04-20,2579.6,2587.1,2594.0,2561.2,2.29M,-0.07%,2290000.0,-0.07,TCS,2553.1,2545.17,,2563.0463223575152,2533.2421197985814,2485.1762373364872,1,0.0
2026-04-21,2610.5,2560.0,2614.0,2560.0,2.72M,1.20%,2720000.0,1.2,TCS,2580.68,2558.83,,2578.86421490501,2547.28900710793,2497.1118337806315,1,0.0
2026-04-22,2538.5,2580.0,2580.0,2503.6,5.23M,-2.76%,5230000.0,-2.76,TCS,2577.4,2558.7,,2565.4094766033404,2545.691005815579,2501.0535638967617,1,0.0
2026-04-23,2521.8,2529.0,2559.5,2516.3,2.51M,-0.66%,2510000.0,-0.66,TCS,2566.38,2554.96,,2550.8729844022273,2541.3471865763827,2503.0294149542133,1,0.0
2026-04-24,2396.9,2488.0,2505.0,2388.8,5.11M,-4.95%,5110000.0,-4.95,TCS,2529.46,2535.75,,2499.5486562681517,2515.084061744313,2492.921851625241,0,-1.0
2026-04-27,2447.6,2396.9,2459.0,2396.9,5.85M,2.12%,5850000.0,2.12,TCS,2503.06,2528.08,,2482.232437512101,2502.8142323362563,2488.6054848037893,0,0.0
2026-04-28,2444.7,2444.0,2487.0,2427.4,4.51M,-0.12%,4510000.0,-0.12,TCS,2469.9,2525.29,,2469.7216250080673,2492.2480082751185,2484.424010060571,0,0.0
2026-04-29,2465.0,2451.0,2487.5,2447.6,2.84M,0.83%,2840000.0,0.83,TCS,2455.2,2516.3,2504.725,2468.1477500053784,2487.2938249523695,2482.5741043405164,0,0.0
2026-03-30,1343.9,1335.0,1365.0,1334.1,24.39M,-0.31%,24390000.0,-0.31,RELIANCE,,,,1343.9,1343.9,1343.9,0,
2026-04-01,1369.2,1384.2,1384.4,1362.9,14.40M,1.88%,14400000.0,1.88,RELIANCE,,,,1352.3333333333335,1348.5,1346.309523809524,1,1.0
