Date,Price,Open,High,Low,Vol.,Change %,Volume,Change_pct,Ticker,SMA5,SMA10,SMA20,EMA5,EMA10,EMA20,Signal,Crossover,Daily_Return,Volatility_5,Volatility_10,Volatility_20,Volatility_Annual
2026-04-13,384.37,373.61,384.54,371.02,35.75M,3.64%,35750000.0,3.64,MSFT,374.986,371.977,,375.94700147335266,372.2784697915759,367.97382907187693,1,0.0,0.03640089519238554,0.017399878540916805,,,0.30234849041752704
2026-04-14,393.11,387.92,394.69,386.52,37.50M,2.27%,37500000.0,2.27,MSFT,379.15,375.392,,381.6680009822351,376.0660207385621,370.3677501126506,1,0.0,0.022738507167572974,0.0180647380052838,0.01553699448018049,,0.30234849041752704
2026-04-15,411.22,398.0,414.37,396.73,45.06M,4.61%,45060000.0,4.61,MSFT,386.52799999999996,379.49699999999996,,391.5186673214901,382.4576533315508,374.2584405781124,1,0.0,0.04606853043677339,0.023288378963272384,0.01832877842977318,,0.30234849041752704
2026-04-16,420.26,419.86,420.82,412.14,41.64M,2.20%,41640000.0,2.2,MSFT,395.966,384.586,,401.0991115476601,389.3308072712688,378.63954147543507,1,0.0,0.021983366567773777,0.019621142821824596,0.018031255843005065,,0.30234849041752704
2026-04-17,422.79,424.82,431.58,420.69,48.57M,0.60%,48570000.0,0.6,MSFT,406.35,389.519,,408.3294076984401,395.4142968583108,382.8443470492032,1,0.0,0.0060200828058820655,0.015287492520967033,0.018165742512205776,,0.30234849041752704
2026-04-20,418.07,421.14,423.33,416.3,27.58M,-1.12%,27580000.0,-1.12,MSFT,413.09,394.038,,411.5762717989601,399.5335156113452,386.19917113975526,1,0.0,-0.01116393481397393,0.021309775154081348,0.019222929883829214,,0.30234849041752704
2026-04-21,424.16,420.24,427.18,417.2,32.05M,1.46%,32049999.999999996,1.46,MSFT,419.3,399.225,,415.7708478659734,404.0110582274642,389.8144881740643,1,0.0,0.014566938550960362,0.021084199198631876,0.018656062260970684,,0.30234849041752704
2026-04-22,432.92,426.18,433.7,423.67,29.38M,2.07%,29380000.0,2.07,MSFT,423.64000000000004,405.084,,421.487231910649,409.2672294588343,393.9197750146296,1,0.0,0.020652583930592217,0.013609183456392015,0.018567686364799878,,0.30234849041752704
2026-04-23,415.75,419.89,423.66,411.41,38.31M,-3.97%,38310000.0,-3.97,MSFT,422.738,409.35200000000003,,419.574821273766,410.44591501177354,395.99884406085533,1,0.0,-0.0396609073269889,0.024260111171274044,0.024960221293217164,,0.30234849041752704
2026-04-24,424.62,416.97,424.95,415.8,27.46M,2.13%,27460000.0,2.13,MSFT,423.104,414.72700000000003,,421.2565475158441,413.0230213732692,398.724668436012,1,0.0,0.021334936861094445,0.026386358978170862,0.024369720535414113,,0.30234849041752704
2026-04-27,424.82,422.38,427.11,417.07,30.87M,0.05%,30870000.0,0.05,MSFT,424.454,418.77200000000005,395.3745,422.4443650105627,415.16792657812937,401.20993810877275,1,0.0,0.0004710093730864173,0.02552845605402597,0.023308265984655272,,0.30234849041752704
2026-04-28,429.25,424.57,429.92,421.9,30.44M,1.04%,30440000.0,1.04,MSFT,425.47200000000004,422.38599999999997,398.889,424.71291000704184,417.72830356392404,403.8804201936515,1,0.0,0.01042794595358032,0.025142976636360847,0.022899902109412833,0.019046164640965996,0.30234849041752704
2021-07-12,741.65,749.14,749.14,740.16,14.46M,919.92%,14460000.0,919.92,HDBK,,,,741.65,741.65,741.65,0,,,,,,0.2512618940049476
2021-07-13,749.06,746.19,751.18,740.21,18.18M,1.00%,18180000.0,1.0,HDBK,,,,744.12,742.9972727272727,742.3557142857143,1,1.0,0.009991235758106898,,,,0.2512618940049476
2021-07-14,747.71,746.89,751.8,743.7,9.79M,-0.18%,9790000.0,-0.18,HDBK,,,,745.3166666666667,743.854132231405,742.8656462585034,1,0.0,-0.0018022588310681043,,,,0.2512618940049476
2021-07-15,758.46,750.63,761.48,747.96,10.44M,1.44%,10440000.0,1.44,HDBK,,,,749.6977777777779,746.5097445529676,744.3508228053126,1,0.0,0.014377231814473479,,,,0.2512618940049476
